office,town,candidate,party,votes,vote_percent
Representative in Congress 04,Monroe,Michael Ted Goldstein,R,251,41.76%
Secretary of the State,Monroe,Dominic Rapini,R,316,53.11%
Secretary of the State,Monroe,Terrie E. Wood,R,279,46.89%
United States Senator,Montville,Themis Klarides,R,161,32.33%
United States Senator,Montville,Leora R. Levy,R,291,58.43%
United States Senator,Montville,Peter Lumaj,R,46,9.24%
Secretary of the State,Montville,Dominic Rapini,R,275,58.02%
Secretary of the State,Montville,Terrie E. Wood,R,199,41.98%
United States Senator,Morris,Themis Klarides,R,62,44.29%
United States Senator,Morris,Leora R. Levy,R,63,45.00%
United States Senator,Morris,Peter Lumaj,R,15,10.71%
Secretary of the State,Morris,Dominic Rapini,R,77,60.63%
Secretary of the State,Morris,Terrie E. Wood,R,50,39.37%
United States Senator,Naugatuck,Themis Klarides,R,573,48.07%
United States Senator,Naugatuck,Leora R. Levy,R,497,41.69%
United States Senator,Naugatuck,Peter Lumaj,R,122,10.23%
Secretary of the State,Naugatuck,Dominic Rapini,R,620,59.05%
Secretary of the State,Naugatuck,Terrie E. Wood,R,430,40.95%
Judge of Probate 21,Naugatuck,Rosa C. Rebimbas,R,726,58.08%
Judge of Probate 21,Naugatuck,Peter E. Mariano,R,524,41.92%
United States Senator,New Britain,Themis Klarides,R,244,35.06%
United States Senator,New Britain,Leora R. Levy,R,355,51.01%
United States Senator,New Britain,Peter Lumaj,R,97,13.94%
Secretary of the State,New Britain,Dominic Rapini,R,386,59.48%
Secretary of the State,New Britain,Terrie E. Wood,R,263,40.52%
United States Senator,New Canaan,Themis Klarides,R,527,60.64%
United States Senator,New Canaan,Leora R. Levy,R,282,32.45%
United States Senator,New Canaan,Peter Lumaj,R,60,6.90%
Representative in Congress 04,New Canaan,Jayme Stevenson,R,704,80.92%
Representative in Congress 04,New Canaan,Michael Ted Goldstein,R,166,19.08%
Secretary of the State,New Canaan,Dominic Rapini,R,399,46.02%
Secretary of the State,New Canaan,Terrie E. Wood,R,468,53.98%
United States Senator,New Fairfield,Themis Klarides,R,141,29.13%
United States Senator,New Fairfield,Leora R. Levy,R,294,60.74%
United States Senator,New Fairfield,Peter Lumaj,R,49,10.12%
Secretary of the State,New Fairfield,Dominic Rapini,R,258,55.97%
Secretary of the State,New Fairfield,Terrie E. Wood,R,203,44.03%
United States Senator,New Hartford,Themis Klarides,R,173,43.03%
United States Senator,New Hartford,Leora R. Levy,R,183,45.52%
United States Senator,New Hartford,Peter Lumaj,R,46,11.44%
Secretary of the State,New Hartford,Dominic Rapini,R,233,60.99%
Secretary of the State,New Hartford,Terrie E. Wood,R,149,39.01%
United States Senator,New Haven,Themis Klarides,R,125,31.89%
United States Senator,New Haven,Leora R. Levy,R,235,59.95%
United States Senator,New Haven,Peter Lumaj,R,32,8.16%
Secretary of the State,New Haven,Dominic Rapini,R,213,62.28%
Secretary of the State,New Haven,Terrie E. Wood,R,129,37.72%
United States Senator,Newington,Themis Klarides,R,308,36.97%
United States Senator,Newington,Leora R. Levy,R,449,53.90%
United States Senator,Newington,Peter Lumaj,R,76,9.12%
Secretary of the State,Newington,Dominic Rapini,R,398,50.96%
Secretary of the State,Newington,Terrie E. Wood,R,383,49.04%
United States Senator,New London,Themis Klarides,R,67,37.64%
United States Senator,New London,Leora R. Levy,R,93,52.25%
United States Senator,New London,Peter Lumaj,R,18,10.11%
Secretary of the State,New London,Dominic Rapini,R,77,53.47%
Secretary of the State,New London,Terrie E. Wood,R,67,46.53%
United States Senator,New Milford,Themis Klarides,R,279,32.94%
United States Senator,New Milford,Leora R. Levy,R,488,57.62%
United States Senator,New Milford,Peter Lumaj,R,80,9.45%
State Representative 69,New Milford,Jason Buchsbaum,R,58,45.67%
State Representative 69,New Milford,Cindy Harrison,R,69,54.33%
Secretary of the State,New Milford,Dominic Rapini,R,408,53.13%
Secretary of the State,New Milford,Terrie E. Wood,R,360,46.88%
United States Senator,Newtown,Themis Klarides,R,337,32.47%
United States Senator,Newtown,Leora R. Levy,R,609,58.67%
United States Senator,Newtown,Peter Lumaj,R,92,8.86%
Secretary of the State,Newtown,Dominic Rapini,R,563,56.47%
Secretary of the State,Newtown,Terrie E. Wood,R,434,43.53%
United States Senator,Norfolk,Themis Klarides,R,22,32.35%
United States Senator,Norfolk,Leora R. Levy,R,43,63.24%
United States Senator,Norfolk,Peter Lumaj,R,3,4.41%
Secretary of the State,Norfolk,Dominic Rapini,R,38,56.72%
Secretary of the State,Norfolk,Terrie E. Wood,R,29,43.28%
United States Senator,North Branford,Themis Klarides,R,177,40.32%
United States Senator,North Branford,Leora R. Levy,R,244,55.58%
United States Senator,North Branford,Peter Lumaj,R,18,4.10%
Secretary of the State,North Branford,Dominic Rapini,R,269,65.29%
Secretary of the State,North Branford,Terrie E. Wood,R,143,34.71%
United States Senator,North Canaan,Themis Klarides,R,53,50.00%
United States Senator,North Canaan,Leora R. Levy,R,47,44.34%
United States Senator,North Canaan,Peter Lumaj,R,6,5.66%
Secretary of the State,North Canaan,Dominic Rapini,R,45,46.39%
Secretary of the State,North Canaan,Terrie E. Wood,R,52,53.61%
United States Senator,North Haven,Themis Klarides,R,482,49.44%
United States Senator,North Haven,Leora R. Levy,R,435,44.62%
United States Senator,North Haven,Peter Lumaj,R,58,5.95%
Secretary of the State,North Haven,Dominic Rapini,R,581,64.77%
Secretary of the State,North Haven,Terrie E. Wood,R,316,35.23%
United States Senator,North Stonington,Themis Klarides,R,50,32.89%
United States Senator,North Stonington,Leora R. Levy,R,90,59.21%
United States Senator,North Stonington,Peter Lumaj,R,12,7.89%
Secretary of the State,North Stonington,Dominic Rapini,R,66,46.48%
Secretary of the State,North Stonington,Terrie E. Wood,R,76,53.52%
United States Senator,Norwalk,Themis Klarides,R,504,41.52%
United States Senator,Norwalk,Leora R. Levy,R,602,49.59%
United States Senator,Norwalk,Peter Lumaj,R,108,8.90%
Representative in Congress 04,Norwalk,Jayme Stevenson,R,723,61.06%
Representative in Congress 04,Norwalk,Michael Ted Goldstein,R,461,38.94%
Secretary of the State,Norwalk,Dominic Rapini,R,505,43.16%
Secretary of the State,Norwalk,Terrie E. Wood,R,665,56.84%
United States Senator,Norwich,Themis Klarides,R,161,28.40%
United States Senator,Norwich,Leora R. Levy,R,308,54.32%
United States Senator,Norwich,Peter Lumaj,R,98,17.28%
Secretary of the State,Norwich,Dominic Rapini,R,293,53.76%
Secretary of the State,Norwich,Terrie E. Wood,R,252,46.24%
United States Senator,Old Lyme,Themis Klarides,R,186,47.94%
United States Senator,Old Lyme,Leora R. Levy,R,165,42.53%
United States Senator,Old Lyme,Peter Lumaj,R,37,9.54%
Secretary of the State,Old Lyme,Dominic Rapini,R,229,60.58%
Secretary of the State,Old Lyme,Terrie E. Wood,R,149,39.42%
United States Senator,Old Saybrook,Themis Klarides,R,220,44.44%
United States Senator,Old Saybrook,Leora R. Levy,R,240,48.48%
United States Senator,Old Saybrook,Peter Lumaj,R,35,7.07%
Secretary of the State,Old Saybrook,Dominic Rapini,R,264,55.81%
Secretary of the State,Old Saybrook,Terrie E. Wood,R,209,44.19%
United States Senator,Orange,Themis Klarides,R,385,63.74%
United States Senator,Orange,Leora R. Levy,R,192,31.79%
United States Senator,Orange,Peter Lumaj,R,27,4.47%
Secretary of the State,Orange,Dominic Rapini,R,387,67.78%
Secretary of the State,Orange,Terrie E. Wood,R,184,32.22%
United States Senator,Oxford,Themis Klarides,R,489,54.82%
United States Senator,Oxford,Leora R. Levy,R,344,38.57%
United States Senator,Oxford,Peter Lumaj,R,59,6.61%
Representative in Congress 04,Oxford,Jayme Stevenson,R,414,48.25%
Representative in Congress 04,Oxford,Michael Ted Goldstein,R,444,51.75%
Secretary of the State,Oxford,Dominic Rapini,R,562,66.35%
Secretary of the State,Oxford,Terrie E. Wood,R,285,33.65%
United States Senator,Plainfield,Themis Klarides,R,101,27.08%
United States Senator,Plainfield,Leora R. Levy,R,231,61.93%
United States Senator,Plainfield,Peter Lumaj,R,41,10.99%
Secretary of the State,Plainfield,Dominic Rapini,R,195,53.42%
Secretary of the State,Plainfield,Terrie E. Wood,R,170,46.58%
United States Senator,Plainville,Themis Klarides,R,182,32.85%
United States Senator,Plainville,Leora R. Levy,R,301,54.33%
United States Senator,Plainville,Peter Lumaj,R,71,12.82%
Secretary of the State,Plainville,Dominic Rapini,R,333,62.59%
Secretary of the State,Plainville,Terrie E. Wood,R,199,37.41%
United States Senator,Plymouth,Themis Klarides,R,210,36.97%
United States Senator,Plymouth,Leora R. Levy,R,292,51.41%
United States Senator,Plymouth,Peter Lumaj,R,66,11.62%
State Representative 78,Plymouth,Joe Hoxha,R,437,76.67%
State Representative 78,Plymouth,Aileen Abrams,R,133,23.33%
Secretary of the State,Plymouth,Dominic Rapini,R,332,61.25%
Secretary of the State,Plymouth,Terrie E. Wood,R,210,38.75%
United States Senator,Pomfret,Themis Klarides,R,43,30.28%
United States Senator,Pomfret,Leora R. Levy,R,75,52.82%
United States Senator,Pomfret,Peter Lumaj,R,24,16.90%
Secretary of the State,Pomfret,Dominic Rapini,R,75,54.74%
Secretary of the State,Pomfret,Terrie E. Wood,R,62,45.26%
United States Senator,Portland,Themis Klarides,R,120,36.59%
United States Senator,Portland,Leora R. Levy,R,181,55.18%
United States Senator,Portland,Peter Lumaj,R,27,8.23%
Secretary of the State,Portland,Dominic Rapini,R,183,58.10%
Secretary of the State,Portland,Terrie E. Wood,R,132,41.90%
United States Senator,Preston,Themis Klarides,R,56,36.13%
United States Senator,Preston,Leora R. Levy,R,87,56.13%
United States Senator,Preston,Peter Lumaj,R,12,7.74%
Secretary of the State,Preston,Dominic Rapini,R,61,41.50%
Secretary of the State,Preston,Terrie E. Wood,R,86,58.50%
United States Senator,Prospect,Themis Klarides,R,303,50.67%
United States Senator,Prospect,Leora R. Levy,R,259,43.31%
United States Senator,Prospect,Peter Lumaj,R,36,6.02%
Secretary of the State,Prospect,Dominic Rapini,R,360,64.17%
Secretary of the State,Prospect,Terrie E. Wood,R,201,35.83%
Judge of Probate 21,Prospect,Rosa C. Rebimbas,R,380,65.07%
Judge of Probate 21,Prospect,Peter E. Mariano,R,204,34.93%
United States Senator,Putnam,Themis Klarides,R,57,31.32%
United States Senator,Putnam,Leora R. Levy,R,92,50.55%
United States Senator,Putnam,Peter Lumaj,R,33,18.13%
Secretary of the State,Putnam,Dominic Rapini,R,114,63.33%
Secretary of the State,Putnam,Terrie E. Wood,R,66,36.67%
United States Senator,Redding,Themis Klarides,R,114,38.51%
United States Senator,Redding,Leora R. Levy,R,153,51.69%
United States Senator,Redding,Peter Lumaj,R,29,9.80%
Representative in Congress 04,Redding,Jayme Stevenson,R,156,53.98%
Representative in Congress 04,Redding,Michael Ted Goldstein,R,133,46.02%
Secretary of the State,Redding,Dominic Rapini,R,165,57.09%
Secretary of the State,Redding,Terrie E. Wood,R,124,42.91%
United States Senator,Ridgefield,Themis Klarides,R,275,38.19%
United States Senator,Ridgefield,Leora R. Levy,R,391,54.31%
United States Senator,Ridgefield,Peter Lumaj,R,54,7.50%
Representative in Congress 04,Ridgefield,Jayme Stevenson,R,453,64.62%
Representative in Congress 04,Ridgefield,Michael Ted Goldstein,R,248,35.38%
Secretary of the State,Ridgefield,Dominic Rapini,R,405,57.94%
Secretary of the State,Ridgefield,Terrie E. Wood,R,294,42.06%
United States Senator,Rocky Hill,Themis Klarides,R,196,35.51%
United States Senator,Rocky Hill,Leora R. Levy,R,306,55.43%
United States Senator,Rocky Hill,Peter Lumaj,R,50,9.06%
Secretary of the State,Rocky Hill,Dominic Rapini,R,291,54.91%
Secretary of the State,Rocky Hill,Terrie E. Wood,R,239,45.09%
United States Senator,Roxbury,Themis Klarides,R,69,47.26%
United States Senator,Roxbury,Leora R. Levy,R,66,45.21%
United States Senator,Roxbury,Peter Lumaj,R,11,7.53%
State Representative 69,Roxbury,Jason Buchsbaum,R,29,18.71%
State Representative 69,Roxbury,Cindy Harrison,R,126,81.29%
Secretary of the State,Roxbury,Dominic Rapini,R,60,46.51%
Secretary of the State,Roxbury,Terrie E. Wood,R,69,53.49%
United States Senator,Salem,Themis Klarides,R,82,44.32%
United States Senator,Salem,Leora R. Levy,R,93,50.27%
United States Senator,Salem,Peter Lumaj,R,10,5.41%
Secretary of the State,Salem,Dominic Rapini,R,93,52.84%
Secretary of the State,Salem,Terrie E. Wood,R,83,47.16%
United States Senator,Salisbury,Themis Klarides,R,44,51.76%
United States Senator,Salisbury,Leora R. Levy,R,25,29.41%
United States Senator,Salisbury,Peter Lumaj,R,16,18.82%
Secretary of the State,Salisbury,Dominic Rapini,R,41,50.00%
Secretary of the State,Salisbury,Terrie E. Wood,R,41,50.00%
United States Senator,Scotland,Themis Klarides,R,21,28.77%
United States Senator,Scotland,Leora R. Levy,R,29,39.73%
United States Senator,Scotland,Peter Lumaj,R,23,31.51%
Secretary of the State,Scotland,Dominic Rapini,R,52,75.36%
Secretary of the State,Scotland,Terrie E. Wood,R,17,24.64%
United States Senator,Seymour,Themis Klarides,R,450,60.98%
United States Senator,Seymour,Leora R. Levy,R,259,35.09%
United States Senator,Seymour,Peter Lumaj,R,29,3.93%
Secretary of the State,Seymour,Dominic Rapini,R,409,61.88%
Secretary of the State,Seymour,Terrie E. Wood,R,252,38.12%
United States Senator,Sharon,Themis Klarides,R,29,36.25%
United States Senator,Sharon,Leora R. Levy,R,44,55.00%
United States Senator,Sharon,Peter Lumaj,R,7,8.75%
Secretary of the State,Sharon,Dominic Rapini,R,35,50.00%
Secretary of the State,Sharon,Terrie E. Wood,R,35,50.00%
United States Senator,Shelton,Themis Klarides,R,749,43.05%
United States Senator,Shelton,Leora R. Levy,R,860,49.43%
United States Senator,Shelton,Peter Lumaj,R,131,7.53%
Representative in Congress 04,Shelton,Jayme Stevenson,R,383,62.28%
Representative in Congress 04,Shelton,Michael Ted Goldstein,R,232,37.72%
Secretary of the State,Shelton,Dominic Rapini,R,1056,63.01%
Secretary of the State,Shelton,Terrie E. Wood,R,620,36.99%
United States Senator,Sherman,Themis Klarides,R,39,27.46%
United States Senator,Sherman,Leora R. Levy,R,81,57.04%
United States Senator,Sherman,Peter Lumaj,R,22,15.49%
Secretary of the State,Sherman,Dominic Rapini,R,69,50.00%
Secretary of the State,Sherman,Terrie E. Wood,R,69,50.00%
United States Senator,Simsbury,Themis Klarides,R,434,47.12%
United States Senator,Simsbury,Leora R. Levy,R,409,44.41%
United States Senator,Simsbury,Peter Lumaj,R,78,8.47%
Secretary of the State,Simsbury,Dominic Rapini,R,467,53.68%
Secretary of the State,Simsbury,Terrie E. Wood,R,403,46.32%
United States Senator,Somers,Themis Klarides,R,145,30.66%
United States Senator,Somers,Leora R. Levy,R,290,61.31%
United States Senator,Somers,Peter Lumaj,R,38,8.03%
Secretary of the State,Somers,Dominic Rapini,R,274,60.49%
Secretary of the State,Somers,Terrie E. Wood,R,179,39.51%
United States Senator,Southbury,Themis Klarides,R,817,54.00%
United States Senator,Southbury,Leora R. Levy,R,556,36.75%
United States Senator,Southbury,Peter Lumaj,R,140,9.25%
State Representative 69,Southbury,Jason Buchsbaum,R,735,54.32%
State Representative 69,Southbury,Cindy Harrison,R,618,45.68%
Secretary of the State,Southbury,Dominic Rapini,R,938,66.20%
Secretary of the State,Southbury,Terrie E. Wood,R,479,33.80%
United States Senator,Southington,Themis Klarides,R,554,31.37%
United States Senator,Southington,Leora R. Levy,R,1042,59.00%
United States Senator,Southington,Peter Lumaj,R,170,9.63%
Secretary of the State,Southington,Dominic Rapini,R,1077,63.88%
Secretary of the State,Southington,Terrie E. Wood,R,609,36.12%
United States Senator,South Windsor,Themis Klarides,R,314,40.83%
United States Senator,South Windsor,Leora R. Levy,R,385,50.07%
United States Senator,South Windsor,Peter Lumaj,R,70,9.10%
Secretary of the State,South Windsor,Dominic Rapini,R,377,51.57%
Secretary of the State,South Windsor,Terrie E. Wood,R,354,48.43%
United States Senator,Sprague,Themis Klarides,R,24,27.27%
United States Senator,Sprague,Leora R. Levy,R,42,47.73%
United States Senator,Sprague,Peter Lumaj,R,22,25.00%
Secretary of the State,Sprague,Dominic Rapini,R,46,54.76%
Secretary of the State,Sprague,Terrie E. Wood,R,38,45.24%
United States Senator,Stafford,Themis Klarides,R,78,24.45%
United States Senator,Stafford,Leora R. Levy,R,222,69.59%
United States Senator,Stafford,Peter Lumaj,R,19,5.96%
Secretary of the State,Stafford,Dominic Rapini,R,174,57.05%
Secretary of the State,Stafford,Terrie E. Wood,R,131,42.95%
United States Senator,Stamford,Themis Klarides,R,888,37.56%
United States Senator,Stamford,Leora R. Levy,R,1268,53.64%
United States Senator,Stamford,Peter Lumaj,R,208,8.80%
Representative in Congress 04,Stamford,Jayme Stevenson,R,1235,53.07%
Representative in Congress 04,Stamford,Michael Ted Goldstein,R,1092,46.93%
Secretary of the State,Stamford,Dominic Rapini,R,1232,53.64%
Secretary of the State,Stamford,Terrie E. Wood,R,1065,46.36%
United States Senator,Sterling,Themis Klarides,R,25,23.36%
United States Senator,Sterling,Leora R. Levy,R,62,57.94%
United States Senator,Sterling,Peter Lumaj,R,20,18.69%
Secretary of the State,Sterling,Dominic Rapini,R,58,58.00%
Secretary of the State,Sterling,Terrie E. Wood,R,42,42.00%
United States Senator,Stonington,Themis Klarides,R,271,48.31%
United States Senator,Stonington,Leora R. Levy,R,256,45.63%
United States Senator,Stonington,Peter Lumaj,R,34,6.06%
Secretary of the State,Stonington,Dominic Rapini,R,239,44.34%
Secretary of the State,Stonington,Terrie E. Wood,R,300,55.66%
United States Senator,Stratford,Themis Klarides,R,565,49.05%
United States Senator,Stratford,Leora R. Levy,R,511,44.36%
United States Senator,Stratford,Peter Lumaj,R,76,6.60%
Secretary of the State,Stratford,Dominic Rapini,R,644,58.65%
Secretary of the State,Stratford,Terrie E. Wood,R,454,41.35%
United States Senator,Suffield,Themis Klarides,R,194,37.52%
United States Senator,Suffield,Leora R. Levy,R,278,53.77%
United States Senator,Suffield,Peter Lumaj,R,45,8.70%
Secretary of the State,Suffield,Dominic Rapini,R,286,60.21%
Secretary of the State,Suffield,Terrie E. Wood,R,189,39.79%
United States Senator,Thomaston,Themis Klarides,R,129,38.97%
United States Senator,Thomaston,Leora R. Levy,R,178,53.78%
United States Senator,Thomaston,Peter Lumaj,R,24,7.25%
Secretary of the State,Thomaston,Dominic Rapini,R,175,55.56%
Secretary of the State,Thomaston,Terrie E. Wood,R,140,44.44%
United States Senator,Thompson,Themis Klarides,R,40,20.41%
United States Senator,Thompson,Leora R. Levy,R,125,63.78%
United States Senator,Thompson,Peter Lumaj,R,31,15.82%
Secretary of the State,Thompson,Dominic Rapini,R,104,56.52%
Secretary of the State,Thompson,Terrie E. Wood,R,80,43.48%
United States Senator,Tolland,Themis Klarides,R,191,40.30%
United States Senator,Tolland,Leora R. Levy,R,231,48.73%
United States Senator,Tolland,Peter Lumaj,R,52,10.97%
Secretary of the State,Tolland,Dominic Rapini,R,269,60.45%
Secretary of the State,Tolland,Terrie E. Wood,R,176,39.55%
United States Senator,Torrington,Themis Klarides,R,392,35.73%
United States Senator,Torrington,Leora R. Levy,R,585,53.33%
United States Senator,Torrington,Peter Lumaj,R,120,10.94%
Secretary of the State,Torrington,Dominic Rapini,R,581,56.41%
Secretary of the State,Torrington,Terrie E. Wood,R,449,43.59%
United States Senator,Trumbull,Themis Klarides,R,485,38.04%
United States Senator,Trumbull,Leora R. Levy,R,676,53.02%
United States Senator,Trumbull,Peter Lumaj,R,114,8.94%
Representative in Congress 04,Trumbull,Jayme Stevenson,R,672,55.54%
Representative in Congress 04,Trumbull,Michael Ted Goldstein,R,538,44.46%
Secretary of the State,Trumbull,Dominic Rapini,R,796,64.51%
Secretary of the State,Trumbull,Terrie E. Wood,R,438,35.49%
United States Senator,Union,Themis Klarides,R,27,36.99%
United States Senator,Union,Leora R. Levy,R,40,54.79%
United States Senator,Union,Peter Lumaj,R,6,8.22%
Secretary of the State,Union,Dominic Rapini,R,26,38.24%
Secretary of the State,Union,Terrie E. Wood,R,42,61.76%
United States Senator,Vernon,Themis Klarides,R,253,28.36%
United States Senator,Vernon,Leora R. Levy,R,558,62.56%
United States Senator,Vernon,Peter Lumaj,R,81,9.08%
Secretary of the State,Vernon,Dominic Rapini,R,450,54.41%
Secretary of the State,Vernon,Terrie E. Wood,R,377,45.59%
United States Senator,Voluntown,Themis Klarides,R,29,23.97%
United States Senator,Voluntown,Leora R. Levy,R,74,61.16%
United States Senator,Voluntown,Peter Lumaj,R,18,14.88%
Secretary of the State,Voluntown,Dominic Rapini,R,71,65.14%
Secretary of the State,Voluntown,Terrie E. Wood,R,38,34.86%
United States Senator,Wallingford,Themis Klarides,R,505,39.39%
United States Senator,Wallingford,Leora R. Levy,R,670,52.26%
United States Senator,Wallingford,Peter Lumaj,R,107,8.35%
Secretary of the State,Wallingford,Dominic Rapini,R,812,66.94%
Secretary of the State,Wallingford,Terrie E. Wood,R,401,33.06%
United States Senator,Warren,Themis Klarides,R,36,43.37%
United States Senator,Warren,Leora R. Levy,R,39,46.99%
United States Senator,Warren,Peter Lumaj,R,8,9.64%
Secretary of the State,Warren,Dominic Rapini,R,37,46.84%
Secretary of the State,Warren,Terrie E. Wood,R,42,53.16%
United States Senator,Washington,Themis Klarides,R,47,41.96%
United States Senator,Washington,Leora R. Levy,R,54,48.21%
United States Senator,Washington,Peter Lumaj,R,11,9.82%
Secretary of the State,Washington,Dominic Rapini,R,60,57.69%
Secretary of the State,Washington,Terrie E. Wood,R,44,42.31%
United States Senator,Waterbury,Themis Klarides,R,478,40.07%
United States Senator,Waterbury,Leora R. Levy,R,580,48.62%
United States Senator,Waterbury,Peter Lumaj,R,135,11.32%
Secretary of the State,Waterbury,Dominic Rapini,R,681,63.59%
Secretary of the State,Waterbury,Terrie E. Wood,R,390,36.41%
United States Senator,Waterford,Themis Klarides,R,282,43.59%
United States Senator,Waterford,Leora R. Levy,R,309,47.76%
United States Senator,Waterford,Peter Lumaj,R,56,8.66%
Secretary of the State,Waterford,Dominic Rapini,R,354,57.37%
Secretary of the State,Waterford,Terrie E. Wood,R,263,42.63%
United States Senator,Watertown,Themis Klarides,R,466,45.29%
United States Senator,Watertown,Leora R. Levy,R,488,47.42%
United States Senator,Watertown,Peter Lumaj,R,75,7.29%
Secretary of the State,Watertown,Dominic Rapini,R,608,62.62%
Secretary of the State,Watertown,Terrie E. Wood,R,363,37.38%
United States Senator,Westbrook,Themis Klarides,R,139,45.72%
United States Senator,Westbrook,Leora R. Levy,R,153,50.33%
United States Senator,Westbrook,Peter Lumaj,R,12,3.95%
Secretary of the State,Westbrook,Dominic Rapini,R,170,62.96%
Secretary of the State,Westbrook,Terrie E. Wood,R,100,37.04%
United States Senator,West Hartford,Themis Klarides,R,508,46.14%
United States Senator,West Hartford,Leora R. Levy,R,490,44.50%
United States Senator,West Hartford,Peter Lumaj,R,103,9.36%
Secretary of the State,West Hartford,Dominic Rapini,R,650,61.90%
Secretary of the State,West Hartford,Terrie E. Wood,R,400,38.10%
United States Senator,West Haven,Themis Klarides,R,260,37.30%
United States Senator,West Haven,Leora R. Levy,R,379,54.38%
United States Senator,West Haven,Peter Lumaj,R,58,8.32%
Secretary of the State,West Haven,Dominic Rapini,R,437,67.54%
Secretary of the State,West Haven,Terrie E. Wood,R,210,32.46%
United States Senator,Weston,Themis Klarides,R,117,49.16%
United States Senator,Weston,Leora R. Levy,R,104,43.70%
United States Senator,Weston,Peter Lumaj,R,17,7.14%
Representative in Congress 04,Weston,Jayme Stevenson,R,149,63.68%
Representative in Congress 04,Weston,Michael Ted Goldstein,R,85,36.32%
Secretary of the State,Weston,Dominic Rapini,R,120,52.86%
Secretary of the State,Weston,Terrie E. Wood,R,107,47.14%
United States Senator,Westport,Themis Klarides,R,251,49.31%
United States Senator,Westport,Leora R. Levy,R,207,40.67%
United States Senator,Westport,Peter Lumaj,R,51,10.02%
Representative in Congress 04,Westport,Jayme Stevenson,R,329,65.93%
Representative in Congress 04,Westport,Michael Ted Goldstein,R,170,34.07%
Secretary of the State,Westport,Dominic Rapini,R,266,53.63%
Secretary of the State,Westport,Terrie E. Wood,R,230,46.37%
United States Senator,Wethersfield,Themis Klarides,R,364,41.84%
United States Senator,Wethersfield,Leora R. Levy,R,422,48.51%
United States Senator,Wethersfield,Peter Lumaj,R,84,9.66%
Secretary of the State,Wethersfield,Dominic Rapini,R,473,57.54%
Secretary of the State,Wethersfield,Terrie E. Wood,R,349,42.46%
United States Senator,Willington,Themis Klarides,R,54,31.03%
United States Senator,Willington,Leora R. Levy,R,102,58.62%
United States Senator,Willington,Peter Lumaj,R,18,10.34%
Secretary of the State,Willington,Dominic Rapini,R,102,61.08%
Secretary of the State,Willington,Terrie E. Wood,R,65,38.92%
United States Senator,Wilton,Themis Klarides,R,259,49.05%
United States Senator,Wilton,Leora R. Levy,R,206,39.02%
United States Senator,Wilton,Peter Lumaj,R,63,11.93%
Representative in Congress 04,Wilton,Jayme Stevenson,R,354,67.56%
Representative in Congress 04,Wilton,Michael Ted Goldstein,R,170,32.44%
Secretary of the State,Wilton,Dominic Rapini,R,299,57.39%
Secretary of the State,Wilton,Terrie E. Wood,R,222,42.61%
United States Senator,Winchester,Themis Klarides,R,107,31.47%
United States Senator,Winchester,Leora R. Levy,R,194,57.06%
United States Senator,Winchester,Peter Lumaj,R,39,11.47%
Secretary of the State,Winchester,Dominic Rapini,R,187,57.54%
Secretary of the State,Winchester,Terrie E. Wood,R,138,42.46%
United States Senator,Windham,Themis Klarides,R,82,26.37%
United States Senator,Windham,Leora R. Levy,R,186,59.81%
United States Senator,Windham,Peter Lumaj,R,43,13.83%
Secretary of the State,Windham,Dominic Rapini,R,169,57.09%
Secretary of the State,Windham,Terrie E. Wood,R,127,42.91%
United States Senator,Windsor,Themis Klarides,R,219,32.93%
United States Senator,Windsor,Leora R. Levy,R,364,54.74%
United States Senator,Windsor,Peter Lumaj,R,82,12.33%
Secretary of the State,Windsor,Dominic Rapini,R,332,53.72%
Secretary of the State,Windsor,Terrie E. Wood,R,286,46.28%
United States Senator,Windsor Locks,Themis Klarides,R,115,30.18%
United States Senator,Windsor Locks,Leora R. Levy,R,216,56.69%
United States Senator,Windsor Locks,Peter Lumaj,R,50,13.12%
Secretary of the State,Windsor Locks,Dominic Rapini,R,186,52.54%
Secretary of the State,Windsor Locks,Terrie E. Wood,R,168,47.46%
United States Senator,Wolcott,Themis Klarides,R,281,37.42%
United States Senator,Wolcott,Leora R. Levy,R,409,54.46%
United States Senator,Wolcott,Peter Lumaj,R,61,8.12%
Secretary of the State,Wolcott,Dominic Rapini,R,441,63.27%
Secretary of the State,Wolcott,Terrie E. Wood,R,256,36.73%
United States Senator,Woodbridge,Themis Klarides,R,195,61.90%
United States Senator,Woodbridge,Leora R. Levy,R,107,33.97%
United States Senator,Woodbridge,Peter Lumaj,R,13,4.13%
Secretary of the State,Woodbridge,Dominic Rapini,R,180,61.22%
Secretary of the State,Woodbridge,Terrie E. Wood,R,114,38.78%
United States Senator,Woodbury,Themis Klarides,R,283,43.21%
United States Senator,Woodbury,Leora R. Levy,R,261,39.85%
United States Senator,Woodbury,Peter Lumaj,R,111,16.95%
Secretary of the State,Woodbury,Dominic Rapini,R,342,57.38%
Secretary of the State,Woodbury,Terrie E. Wood,R,254,42.62%
United States Senator,Woodstock,Themis Klarides,R,93,28.53%
United States Senator,Woodstock,Leora R. Levy,R,196,60.12%
United States Senator,Woodstock,Peter Lumaj,R,37,11.35%
Secretary of the State,Woodstock,Dominic Rapini,R,182,59.09%
Secretary of the State,Woodstock,Terrie E. Wood,R,126,40.91%
